Total I/Os per Second ,Total MBs per Second ,Average I/O Response Time (ms) ,Maximum I/O Response Time (ms) ,% CPU Utilization (total) ,Total Error Count ,
8708.56,1088.57,14.6783,37.7809,3.82 %,0,
8624.88,1078.11,14.8502,34.8088,1.94 %,0,
8532.25,1066.53,15.0076,34.7747,3.54 %,0,
8716.83,1089.60,14.6923,36.9227,3.32 %,0,
8704.75,1088.09,14.6904,35.7922,2.64 %,0,
8528.78,1066.10,15.0141,38.9815,3.63 %,0,
8354.97,1044.37,15.3186,38.6492,5.42 %,0,
8445.54,1055.69,15.1351,42.1217,1.93 %,0,
8133.81,1016.73,15.7441,38.6558,1.79 %,0,
8009.27,1001.16,15.9851,38.0203,2.68 %,0,
8011.72,1001.46,15.9563,44.8407,2.67 %,0,
8071.70,1008.96,15.8674,42.9931,1.69 %,0,
8014.65,1001.83,15.9796,40.1628,3.23 %,0,
7953.86,994.23,16.0774,39.2985,2.25 %,0,
8042.25,1005.28,15.9354,38.8435,3.83 %,0,
7994.87,999.36,15.9928,38.1090,1.16 %,0,
7931.73,991.47,16.1552,41.9350,4.93 %,0,
7887.24,985.90,16.2292,43.1944,2.65 %,0,
7938.47,992.31,16.1226,38.9818,2.26 %,0,
8211.19,1026.40,15.5752,39.3970,3.13 %,0,
8374.21,1046.78,15.2876,34.7283,2.54 %,0,
8630.93,1078.87,14.8490,34.7026,3.64 %,0,
8618.87,1077.36,14.8292,37.0624,1.77 %,0,
8664.05,1083.01,14.7645,39.2886,3.59 %,0,
9151.49,1143.94,13.9867,38.1783,3.35 %,0,
9354.31,1169.29,13.7062,35.8325,2.95 %,0,
9601.05,1200.13,13.3452,33.8212,3.59 %,0,
9487.87,1185.98,13.4875,33.4906,3.44 %,0,
9486.48,1185.81,13.4846,32.2776,3.05 %,0,
9652.06,1206.51,13.2778,32.8686,1.35 %,0,
9795.81,1224.48,13.0489,32.2085,3.85 %,0,
9722.44,1215.31,13.1686,34.0543,2.17 %,0,
9776.87,1222.11,13.1031,31.3848,2.81 %,0,
9951.90,1243.99,12.8517,32.7242,3.14 %,0,
10123.08,1265.39,12.6538,38.8354,2.92 %,0,
10542.59,1317.82,12.1334,30.4801,2.41 %,0,
10358.37,1294.80,12.3681,35.8936,2.85 %,0,
10455.07,1306.88,12.2469,34.4305,2.60 %,0,
10312.88,1289.11,12.4065,28.8096,1.73 %,0,
10549.93,1318.74,12.1328,30.9827,0.06 %,0,
10598.48,1324.81,12.0702,27.8472,2.03 %,0,
10608.42,1326.05,12.0755,27.1283,2.92 %,0,
10533.63,1316.70,12.1497,31.3522,2.52 %,0,
10553.45,1319.18,12.1078,27.7833,1.03 %,0,
9981.65,1247.71,12.8214,28.6984,2.03 %,0,
9803.28,1225.41,13.0775,31.1386,2.83 %,0,
10082.87,1260.36,12.6931,29.2760,1.06 %,0,
9677.53,1209.69,13.2219,32.4493,4.64 %,0,
9849.85,1231.23,12.9921,31.5331,4.18 %,0,
9728.47,1216.06,13.1627,30.5736,2.81 %,0,
9614.07,1201.76,13.3054,35.5661,4.14 %,0,
9444.90,1180.61,13.5517,34.8241,2.86 %,0,
9651.39,1206.42,13.2526,32.5521,3.90 %,0,
9749.14,1218.64,13.1337,35.7216,4.56 %,0,
9587.98,1198.50,13.3466,37.0457,3.71 %,0,
9441.39,1180.17,13.5610,35.2863,1.84 %,0,
9214.39,1151.80,13.8970,35.3495,3.86 %,0,
9353.17,1169.15,13.6898,40.4368,2.50 %,0,
8993.73,1124.22,14.2051,37.5025,1.31 %,0,
9030.25,1128.78,14.1940,36.2822,2.52 %,0,
8940.27,1117.53,14.3163,38.0305,2.89 %,0,
8678.75,1084.84,14.7395,34.4856,2.46 %,0,
